"Frankie","create","PDSWhole"
"Abbigail","create","PDSWhole"
"samer","create","PDSWhole"
"Tenured Faculty","create","PDSWhole"
"Thelma","create","PDSWhole"
"NickC","create","PDSWhole"
"SP","read","Budget Info"
"SP","read","Compliance Info"
"SP","read","ChairApproval"
"SP","read","Collaboration Info"
"SP","read","Proprietary Info"
"SP","read","COI"
"SP","read","Investigator Info"
"SP","read","CoPIEditable"
"SP","read","IRBApproval"
"SP","read","OSPInfo"
"SP","read","SPInfo"
"SP","read","ApprovalInfo"
"SP","read","RDApproval"
"SP","read","PDSSections"
"SP","read","PIEditable"
"SP","read","BMApproval"
"SP","read","CoPIInfo"
"SP","read","Signature Info"
"SP","read","CostShare Info"
"SP","read","DeanApproval"
"SP","read","Project Info"
"SP","read","UnivCommitmentsInfo"
"SP","read","PIInfo"
"SP","read","RAApproval"
"SP","read","Additional Info"
"Domenic","create","PDSWhole"
"nazmul","create","PDSWhole"
"Carmela","create","PDSWhole"
"TenureTrack Faculty","create","PDSWhole"
"Miguel","create","PDSWhole"
"Kaleb","create","PDSWhole"
"Research Faculty","create","PDSWhole"
"PIEligible","create","PDSWhole"
"CoPI","read","Budget Info"
"CoPI","read","Compliance Info"
"CoPI","write","Compliance Info"
"CoPI","read","ChairApproval"
"CoPI","read","Collaboration Info"
"CoPI","write","Collaboration Info"
"CoPI","read","Proprietary Info"
"CoPI","write","Proprietary Info"
"CoPI","read","COI"
"CoPI","write","COI"
"CoPI","delete-sp","SP"
"CoPI","add-sp","SP"
"CoPI","read","Investigator Info"
"CoPI","read","CoPIEditable"
"CoPI","write","CoPIEditable"
"CoPI","read","IRBApproval"
"CoPI","read","OSPInfo"
"CoPI","read","SPInfo"
"CoPI","read","ApprovalInfo"
"CoPI","delete-sp","CoPI"
"CoPI","add-sp","CoPI"
"CoPI","read","RDApproval"
"CoPI","read","PDSSections"
"CoPI","read","PIEditable"
"CoPI","read","BMApproval"
"CoPI","read","CoPIInfo"
"CoPI","read","Signature Info"
"CoPI","write","Signature Info"
"CoPI","read","CostShare Info"
"CoPI","write","CostShare Info"
"CoPI","read","DeanApproval"
"CoPI","read","Project Info"
"CoPI","read","UnivCommitmentsInfo"
"CoPI","write","UnivCommitmentsInfo"
"CoPI","read","PIInfo"
"CoPI","read","RAApproval"
"CoPI","read","Additional Info"
"CoPI","write","Additional Info"
"CoPI","delete-sp","PI"
"CoPI","add-sp","PI"
"Wendell","create","PDSWhole"
"Merl","create","PDSWhole"
"Horacio","create","PDSWhole"
"PI","read","Budget Info"
"PI","write","Budget Info"
"PI","read","Compliance Info"
"PI","write","Compliance Info"
"PI","Delete","PDSWhole"
"PI","Submit","PDSWhole"
"PI","read","ChairApproval"
"PI","read","Collaboration Info"
"PI","write","Collaboration Info"
"PI","read","Proprietary Info"
"PI","write","Proprietary Info"
"PI","read","COI"
"PI","write","COI"
"PI","delete-sp","SP"
"PI","add-sp","SP"
"PI","read","Investigator Info"
"PI","read","CoPIEditable"
"PI","write","CoPIEditable"
"PI","read","IRBApproval"
"PI","read","OSPInfo"
"PI","read","SPInfo"
"PI","read","ApprovalInfo"
"PI","delete-sp","CoPI"
"PI","add-sp","CoPI"
"PI","delete-copi","CoPI"
"PI","add-copi","CoPI"
"PI","read","RDApproval"
"PI","read","PDSSections"
"PI","read","PIEditable"
"PI","write","PIEditable"
"PI","read","BMApproval"
"PI","read","CoPIInfo"
"PI","read","Signature Info"
"PI","write","Signature Info"
"PI","read","CostShare Info"
"PI","write","CostShare Info"
"PI","read","DeanApproval"
"PI","read","Project Info"
"PI","write","Project Info"
"PI","read","UnivCommitmentsInfo"
"PI","write","UnivCommitmentsInfo"
"PI","ViewLog","Audit Log"
"PI","read","PIInfo"
"PI","read","RAApproval"
"PI","read","Additional Info"
"PI","write","Additional Info"
"PI","delete-sp","PI"
"PI","add-sp","PI"
"PI","delete-copi","PI"
"PI","add-copi","PI"
"TenuredTenureTrack Faculty","create","PDSWhole"
